X_DEPART;Y_DEPART;X_ARRIVEE;Y_ARRIVEE;LB_RESULTAT_DETAIL;ZONE_PASSEUR;ZONE_RECEPTEUR
0.53;0.68;0.12;0.42;BUT;Avant centre;Arrière gauche
0.51;0.51;0.25;0.47;CARTON JAUNE;Avant centre;Arrière gauche
0.5;0.47;0.48;0.31;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.51;0.48;0.36;0.45;NEUTRALISATION;Arrière centre;Arrière centre
0.44;0.35;0.76;0.37;HORS CADRE;Arrière centre;Arrière droite
0.16;0.43;0.49;0.56;NEUTRALISATION;Arrière gauche;Avant centre
0.47;0.51;0.21;0.44;NEUTRALISATION;Avant centre;Arrière gauche
0.51;0.5;0.74;0.51;CONTRE;Avant centre;Avant centre
0.85;0.5;0.53;0.56;2 MINUTES;Avant droite;Avant centre
0.51;0.4;0.76;0.34;NEUTRALISATION;Arrière centre;Arrière droite
0.59;0.48;0.84;0.47;ARRÊT;Arrière centre;Arrière droite
0.46;0.48;0.52;0.33;BUT;Arrière centre;Arrière centre
0.49;0.53;0.18;0.44;NEUTRALISATION;Avant centre;Arrière gauche
0.64;0.4;0.48;0.34;2 MINUTES;Arrière centre;Arrière centre
0.24;0.5;0.82;0.49;ARRÊT;Avant gauche;Arrière droite
0.59;0.57;0.21;0.44;NEUTRALISATION;Avant centre;Arrière gauche
0.81;0.32;0.97;0.05;BUT;Arrière droite;Arrière droite
0.52;0.43;0.4;0.35;BUT;Arrière centre;Arrière centre
0.9;0.54;0.34;0.58;BUT;Avant droite;Avant centre
0.49;0.52;0.18;0.45;PASSAGE EN FORCE;Avant centre;Arrière gauche
0.3;0.52;0.69;0.55;ARRÊT;Avant centre;Avant centre
0.33;0.5;0.99;0.04;BUT;Avant centre;Arrière droite
0.33;0.55;0.87;0.49;PASSAGE EN FORCE;Avant centre;Arrière droite
0.6;0.55;0.4;0.33;BUT;Avant centre;Arrière centre
0.9;0.46;0.38;0.6;BUT;Arrière droite;Avant centre
0.52;0.48;0.82;0.41;BUT;Arrière centre;Arrière droite
0.47;0.49;0.42;0.31;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.5;0.53;0.15;0.44;NEUTRALISATION;Avant centre;Arrière gauche
0.41;0.5;0.16;0.41;ARRÊT;Avant centre;Arrière gauche
0.06;0.22;0.09;0.5;BUT;Arrière gauche;Avant gauche
0.4;0.48;0.46;0.58;ARRÊT;Arrière centre;Avant centre
0.37;0.49;0.62;0.26;ARRÊT;Arrière centre;Arrière centre
0.33;0.36;0.31;0.52;HORS CADRE;Arrière centre;Avant centre
0.77;0.56;0.3;0.57;HORS CADRE;Avant droite;Avant centre
0.52;0.56;0.28;0.5;BUT;Avant centre;Avant centre
0.5;0.73;0.1;0.56;BUT;Avant centre;Avant gauche
0.68;0.35;0.83;0.38;ARRÊT;Arrière droite;Arrière droite
0.61;0.5;0.06;0.1;BUT;Avant centre;Arrière gauche
0.6;0.53;0.23;0.46;NEUTRALISATION;Avant centre;Arrière gauche
0.5;0.55;0.22;0.49;NEUTRALISATION;Avant centre;Arrière gauche
0.24;0.42;0.07;0.23;BUT;Arrière gauche;Arrière gauche
0.22;0.29;0.04;0.05;BUT;Arrière gauche;Arrière gauche
0.68;0.5;0.29;0.57;ARRÊT;Avant centre;Avant centre
0.74;0.39;0.9;0.4;NEUTRALISATION;Arrière droite;Arrière droite
0.04;0.2;0.07;0.41;NEUTRALISATION;Arrière gauche;Arrière gauche
0.57;0.47;0.81;0.39;BUT;Arrière centre;Arrière droite
0.52;0.57;0.18;0.47;ARRÊT;Avant centre;Arrière gauche
0.18;0.47;0.48;0.56;2 MINUTES;Arrière gauche;Avant centre
0.83;0.48;0.11;0.16;PASSE INCOMPLETE;Arrière droite;Arrière gauche
0.15;0.48;0.36;0.31;BUT;Arrière gauche;Arrière centre
0.48;0.48;0.37;0.33;ZONE;Arrière centre;Arrière centre
0.13;0.42;0.5;0.48;BUT;Arrière gauche;Arrière centre
0.79;0.51;0.51;0.45;NEUTRALISATION;Avant droite;Arrière centre
0.66;0.46;0.88;0.45;PASSAGE EN FORCE;Arrière droite;Arrière droite
0.74;0.5;0.59;0.31;PASSE INCOMPLETE;Avant centre;Arrière centre
0.52;0.59;0.83;0.51;HORS CADRE;Avant centre;Avant droite
0.93;0.12;0.84;0.34;INTERCEPTION;Arrière droite;Arrière droite
0.29;0.69;0.61;0.53;PASSE INCOMPLETE;Avant centre;Avant centre
0.27;0.58;0.67;0.47;BUT;Avant centre;Arrière droite
0.32;0.53;0.66;0.52;NEUTRALISATION;Avant centre;Avant centre
0.44;0.53;0.78;0.51;NEUTRALISATION;Avant centre;Avant droite
0.68;0.39;0.53;0.52;ARRÊT;Arrière droite;Avant centre
0.75;0.33;0.93;0.16;BUT;Arrière droite;Arrière droite
0.58;0.53;0.86;0.46;CARTON JAUNE;Avant centre;Arrière droite
0.92;0.43;0.67;0.6;POTEAU;Arrière droite;Avant centre
0.36;0.58;0.77;0.51;NEUTRALISATION;Avant centre;Avant droite
0.3;0.36;0.16;0.01;BALLON SORTI;Arrière gauche;Arrière gauche
0.48;0.41;0.24;0.4;BUT;Arrière centre;Arrière gauche
0.72;0.52;0.47;0.4;BUT;Avant centre;Arrière centre
0.47;0.53;0.2;0.46;PASSAGE EN FORCE;Avant centre;Arrière gauche
0.44;0.53;0.89;0.41;INTERCEPTION;Avant centre;Arrière droite
0.65;0.34;0.88;0.29;ARRÊT;Arrière centre;Arrière droite
0.54;0.39;0.05;0.09;BUT;Arrière centre;Arrière gauche
0.42;0.5;0.11;0.41;NEUTRALISATION;Avant centre;Arrière gauche
0.67;0.32;0.94;0.14;POTEAU;Arrière droite;Arrière droite
0.1;0.13;0.26;0.28;NEUTRALISATION;Arrière gauche;Arrière gauche
0.48;0.48;0.42;0.52;BUT;Arrière centre;Avant centre
0.32;0.49;0.8;0.59;HORS CADRE;Arrière gauche;Avant droite
0.95;0.13;0.85;0.39;2 MINUTES;Arrière droite;Arrière droite
0.5;0.47;0.8;0.5;BUT;Arrière centre;Avant droite
0.65;0.47;0.41;0.52;BUT;Arrière centre;Avant centre
0.42;0.34;0.79;0.4;BUT;Arrière centre;Arrière droite
0.52;0.49;0.22;0.47;CARTON ROUGE;Arrière centre;Arrière gauche
0.48;0.47;0.86;0.41;PASSE INCOMPLETE;Arrière centre;Arrière droite
0.43;0.5;0.5;0.51;INTERCEPTION;Avant centre;Avant centre
0.29;0.4;0.58;0.47;BUT;Arrière gauche;Arrière centre
0.68;0.47;0.39;0.6;BUT;Arrière droite;Avant centre
0.36;0.53;0.03;0.34;BUT;Avant centre;Arrière gauche
0.49;0.71;0.8;0.53;PASSAGE EN FORCE;Avant centre;Avant droite
0.5;0.49;0.44;0.59;BUT;Arrière centre;Avant centre
0.67;0.49;0.47;0.58;ARRÊT;Arrière droite;Avant centre
0.38;0.51;0.94;0.16;BUT;Avant centre;Arrière droite
0.28;0.5;0.71;0.5;INTERCEPTION;Avant centre;Avant centre
0.26;0.31;0.06;0.05;BUT;Arrière gauche;Arrière gauche
0.31;0.43;0.38;0.3;PASSE INCOMPLETE;Arrière gauche;Arrière centre
0.73;0.51;0.23;0.57;2 MINUTES;Avant centre;Avant gauche
0.07;0.39;0.24;0.5;ARRÊT;Arrière gauche;Avant gauche
0.53;0.44;0.97;0.23;ARRÊT;Arrière centre;Arrière droite
0.4;0.43;0.69;0.49;NEUTRALISATION;Arrière centre;Arrière droite
0.64;0.4;0.5;0.33;FAUTE OFFENSIVE;Arrière centre;Arrière centre
0.44;0.53;0.23;0.48;PASSAGE EN FORCE;Avant centre;Arrière gauche
0.54;0.47;0.59;0.59;ARRÊT;Arrière centre;Avant centre
0.4;0.6;0.81;0.53;ARRÊT;Avant centre;Avant droite
0.67;0.6;0.86;0.44;BUT;Avant centre;Arrière droite
0.8;0.36;0.99;0.04;BUT;Arrière droite;Arrière droite
0.57;0.52;0.9;0.4;NEUTRALISATION;Avant centre;Arrière droite
0.74;0.48;0.9;0.34;INTERCEPTION;Arrière droite;Arrière droite
0.37;0.34;0.5;0.33;BUT;Arrière centre;Arrière centre
0.27;0.48;0.6;0.57;NEUTRALISATION;Arrière gauche;Avant centre
