"CD_MATCH","MOMENTUM","nb_momentums","GAGNE","ECART_POINTS"
"FR-1-H_32_38_5765","FR_HBCN_44200",5,FALSE,-1
"FR-1-H_32_38_5766","FR_PSGHB_75016",8,TRUE,9
"FR-1-H_32_38_5766","FR_DHBGL_59140",5,FALSE,-9
"FR-1-H_32_38_5767","FR_FTHB_31000",6,NA,0
"FR-1-H_32_38_5767","FR_CRMHB_35510",7,NA,0
"FR-1-H_32_39_5768","FR_CRMHB_35510",7,FALSE,-3
"FR-1-H_32_39_5768","FR_USIHB_94200",9,TRUE,3
"FR-1-H_32_39_5769","FR_CSMBHB_73000",5,NA,0
"FR-1-H_32_39_5769","FR_PSGHB_75016",7,NA,0
"FR-1-H_32_39_5770","FR_CCMHB_28000",6,FALSE,-7
"FR-1-H_32_39_5770","FR_USAMNG_30918",11,TRUE,7
"FR-1-H_32_39_5771","FR_DHBGL_59140",7,TRUE,1
"FR-1-H_32_39_5771","FR_TFHB_93290",7,FALSE,-1
"FR-1-H_32_39_5772","FR_LHB_87000",9,FALSE,-1
"FR-1-H_32_39_5772","FR_PAUC_13100",7,TRUE,1
"FR-1-H_32_39_5773","FR_MHB_34000",7,TRUE,3
"FR-1-H_32_39_5773","FR_FTHB_31000",6,FALSE,-3
"FR-1-H_32_39_5774","FR_HBCN_44200",9,TRUE,11
"FR-1-H_32_39_5774","FR_IPHB_13806",4,FALSE,-11
"FR-1-H_32_39_5775","FR_SRVHB_83700",5,TRUE,4
"FR-1-H_32_39_5775","FR_USCHB_94000",8,FALSE,-4
"FR-1-H_32_40_5776","FR_PAUC_13100",8,TRUE,5
"FR-1-H_32_40_5776","FR_CRMHB_35510",4,FALSE,-5
"FR-1-H_32_40_5777","FR_IPHB_13806",4,TRUE,1
"FR-1-H_32_40_5777","FR_DHBGL_59140",4,FALSE,-1
"FR-1-H_32_40_5778","FR_USIHB_94200",6,TRUE,7
"FR-1-H_32_40_5778","FR_CCMHB_28000",4,FALSE,-7
"FR-1-H_32_40_5779","FR_USAMNG_30918",8,FALSE,-3
"FR-1-H_32_40_5779","FR_CSMBHB_73000",9,TRUE,3
"FR-1-H_32_40_5780","FR_PSGHB_75016",5,TRUE,5
"FR-1-H_32_40_5780","FR_USCHB_94000",3,FALSE,-5
"FR-1-H_32_40_5781","FR_SRVHB_83700",6,NA,0
"FR-1-H_32_40_5781","FR_MHB_34000",5,NA,0
"FR-1-H_32_40_5782","FR_FTHB_31000",8,FALSE,-2
"FR-1-H_32_40_5782","FR_LHB_87000",10,TRUE,2
"FR-1-H_32_40_5783","FR_TFHB_93290",6,FALSE,-13
"FR-1-H_32_40_5783","FR_HBCN_44200",12,TRUE,13
"FR-1-H_32_41_5784","FR_CRMHB_35510",5,FALSE,-2
"FR-1-H_32_41_5784","FR_IPHB_13806",5,TRUE,2
"FR-1-H_32_41_5785","FR_CSMBHB_73000",6,FALSE,-3
"FR-1-H_32_41_5785","FR_TFHB_93290",9,TRUE,3
"FR-1-H_32_41_5786","FR_CCMHB_28000",5,FALSE,-9
"FR-1-H_32_41_5786","FR_PSGHB_75016",11,TRUE,9
"FR-1-H_32_41_5787","FR_USCHB_94000",7,FALSE,-3
"FR-1-H_32_41_5787","FR_USAMNG_30918",6,TRUE,3
"FR-1-H_32_41_5788","FR_DHBGL_59140",5,NA,0
"FR-1-H_32_41_5788","FR_FTHB_31000",7,NA,0
"FR-1-H_32_41_5789","FR_LHB_87000",5,TRUE,3
"FR-1-H_32_41_5789","FR_SRVHB_83700",3,FALSE,-3
"FR-1-H_32_41_5790","FR_MHB_34000",10,TRUE,8
"FR-1-H_32_41_5790","FR_USIHB_94200",5,FALSE,-8
"FR-1-H_32_41_5791","FR_HBCN_44200",5,NA,0
"FR-1-H_32_41_5791","FR_PAUC_13100",3,NA,0
"FR-1-H_32_42_5792","FR_PAUC_13100",6,NA,0
"FR-1-H_32_42_5792","FR_CCMHB_28000",7,NA,0
"FR-1-H_32_42_5793","FR_IPHB_13806",3,FALSE,-10
"FR-1-H_32_42_5793","FR_PSGHB_75016",8,TRUE,10
"FR-1-H_32_42_5794","FR_USIHB_94200",4,FALSE,-1
"FR-1-H_32_42_5794","FR_HBCN_44200",7,TRUE,1
"FR-1-H_32_42_5795","FR_MHB_34000",7,TRUE,1
"FR-1-H_32_42_5795","FR_USCHB_94000",5,FALSE,-1
"FR-1-H_32_42_5796","FR_USAMNG_30918",6,TRUE,1
"FR-1-H_32_42_5796","FR_DHBGL_59140",6,FALSE,-1
"FR-1-H_32_42_5797","FR_SRVHB_83700",10,TRUE,3
"FR-1-H_32_42_5797","FR_CRMHB_35510",6,FALSE,-3
"FR-1-H_32_42_5798","FR_FTHB_31000",6,FALSE,-1
"FR-1-H_32_42_5798","FR_CSMBHB_73000",6,TRUE,1
"FR-1-H_32_42_5799","FR_TFHB_93290",6,TRUE,1
"FR-1-H_32_42_5799","FR_LHB_87000",6,FALSE,-1
"FR-1-H_32_43_5800","FR_PAUC_13100",5,FALSE,-2
"FR-1-H_32_43_5800","FR_SRVHB_83700",7,TRUE,2
"FR-1-H_32_43_5801","FR_CRMHB_35510",6,FALSE,-8
"FR-1-H_32_43_5801","FR_FTHB_31000",9,TRUE,8
"FR-1-H_32_43_5802","FR_CCMHB_28000",5,TRUE,1
"FR-1-H_32_43_5802","FR_IPHB_13806",8,FALSE,-1
"FR-1-H_32_43_5803","FR_USCHB_94000",8,TRUE,3
"FR-1-H_32_43_5803","FR_TFHB_93290",3,FALSE,-3
"FR-1-H_32_43_5804","FR_DHBGL_59140",3,FALSE,-7
"FR-1-H_32_43_5804","FR_MHB_34000",7,TRUE,7
"FR-1-H_32_43_5805","FR_LHB_87000",5,FALSE,-2
"FR-1-H_32_43_5805","FR_CSMBHB_73000",6,TRUE,2
"FR-1-H_32_43_5806","FR_HBCN_44200",8,TRUE,3
"FR-1-H_32_43_5806","FR_USAMNG_30918",5,FALSE,-3
"FR-1-H_32_43_5807","FR_PSGHB_75016",7,TRUE,9
"FR-1-H_32_43_5807","FR_USIHB_94200",3,FALSE,-9
"FR-1-H_32_44_5808","FR_CRMHB_35510",3,FALSE,-5
"FR-1-H_32_44_5808","FR_HBCN_44200",5,TRUE,5
"FR-1-H_32_44_5809","FR_CSMBHB_73000",7,TRUE,5
"FR-1-H_32_44_5809","FR_PAUC_13100",5,FALSE,-5
"FR-1-H_32_44_5810","FR_IPHB_13806",9,TRUE,4
"FR-1-H_32_44_5810","FR_USCHB_94000",3,FALSE,-4
"FR-1-H_32_44_5811","FR_USIHB_94200",4,TRUE,3
"FR-1-H_32_44_5811","FR_TFHB_93290",6,FALSE,-3
"FR-1-H_32_44_5812","FR_MHB_34000",8,TRUE,8
"FR-1-H_32_44_5812","FR_LHB_87000",6,FALSE,-8
"FR-1-H_32_44_5813","FR_USAMNG_30918",0,NA,NA
"FR-1-H_32_44_5813","FR_CCMHB_28000",0,NA,NA
"FR-1-H_32_44_5814","FR_SRVHB_83700",6,FALSE,-4
"FR-1-H_32_44_5814","FR_DHBGL_59140",6,TRUE,4
"FR-1-H_32_44_5815","FR_FTHB_31000",6,FALSE,-12
"FR-1-H_32_44_5815","FR_PSGHB_75016",12,TRUE,12
"FR-1-H_32_45_5816","FR_PAUC_13100",9,TRUE,4
"FR-1-H_32_45_5816","FR_IPHB_13806",5,FALSE,-4
"FR-1-H_32_45_5817","FR_CCMHB_28000",2,FALSE,-2
"FR-1-H_32_45_5817","FR_MHB_34000",6,TRUE,2
"FR-1-H_32_45_5818","FR_USCHB_94000",5,TRUE,1
"FR-1-H_32_45_5818","FR_FTHB_31000",5,FALSE,-1
"FR-1-H_32_45_5819","FR_DHBGL_59140",11,TRUE,12
"FR-1-H_32_45_5819","FR_USIHB_94200",2,FALSE,-12
"FR-1-H_32_45_5820","FR_LHB_87000",3,FALSE,-13
"FR-1-H_32_45_5820","FR_USAMNG_30918",10,TRUE,13
"FR-1-H_32_45_5821","FR_HBCN_44200",8,FALSE,-4
"FR-1-H_32_45_5821","FR_SRVHB_83700",9,TRUE,4
"FR-1-H_32_45_5822","FR_PSGHB_75016",7,TRUE,11
"FR-1-H_32_45_5822","FR_CSMBHB_73000",3,FALSE,-11
"FR-1-H_32_45_5823","FR_TFHB_93290",6,FALSE,-1
"FR-1-H_32_45_5823","FR_CRMHB_35510",6,TRUE,1
"FR-1-H_32_46_5824","FR_CRMHB_35510",8,TRUE,7
"FR-1-H_32_46_5824","FR_CCMHB_28000",4,FALSE,-7
"FR-1-H_32_46_5825","FR_CSMBHB_73000",6,FALSE,-2
"FR-1-H_32_46_5825","FR_USCHB_94000",7,TRUE,2
"FR-1-H_32_46_5826","FR_DHBGL_59140",4,FALSE,-8
"FR-1-H_32_46_5826","FR_PSGHB_75016",5,TRUE,8
"FR-1-H_32_46_5827","FR_USIHB_94200",8,NA,0
"FR-1-H_32_46_5827","FR_LHB_87000",8,NA,0
"FR-1-H_32_46_5828","FR_MHB_34000",10,TRUE,8
"FR-1-H_32_46_5828","FR_IPHB_13806",6,FALSE,-8
"FR-1-H_32_46_5829","FR_USAMNG_30918",6,FALSE,-1
"FR-1-H_32_46_5829","FR_PAUC_13100",8,TRUE,1
"FR-1-H_32_46_5830","FR_SRVHB_83700",5,NA,0
"FR-1-H_32_46_5830","FR_TFHB_93290",5,NA,0
"FR-1-H_32_46_5831","FR_FTHB_31000",7,NA,0
"FR-1-H_32_46_5831","FR_HBCN_44200",6,NA,0
"FR-1-H_32_47_5832","FR_PAUC_13100",8,TRUE,11
"FR-1-H_32_47_5832","FR_USCHB_94000",3,FALSE,-11
"FR-1-H_32_47_5833","FR_CCMHB_28000",5,FALSE,-1
